week,role,inventory,backlog,order_placed,incoming_demand,shipment_sent,shipment_received,cost
1,Retailer,11,0,8,4,4,0,5.5
1,Wholesaler,15,0,0,0,0,0,7.5
1,Distributor,15,0,0,0,0,0,7.5
1,Manufacturer,15,0,0,0,0,0,7.5
2,Retailer,7,0,4,4,4,0,3.5
2,Wholesaler,15,0,0,0,0,0,7.5
2,Distributor,15,0,0,0,0,0,7.5
2,Manufacturer,15,0,0,0,0,0,7.5
3,Retailer,3,0,4,4,4,0,1.5
3,Wholesaler,7,0,8,8,8,0,3.5
3,Distributor,15,0,0,0,0,0,7.5
3,Manufacturer,15,0,0,0,0,0,7.5
4,Retailer,0,1,4,4,3,0,1.0
4,Wholesaler,3,0,4,4,4,0,1.5
4,Distributor,15,0,0,0,0,0,7.5
4,Manufacturer,15,0,0,0,0,0,7.5
5,Retailer,0,1,12,8,8,8,1.0
5,Wholesaler,0,1,4,4,3,0,1.0
5,Distributor,7,0,8,8,8,0,3.5
5,Manufacturer,15,0,0,0,0,0,7.5
6,Retailer,0,5,8,8,4,4,5.0
6,Wholesaler,0,5,4,4,0,0,5.0
6,Distributor,3,0,4,4,4,0,1.5
6,Manufacturer,15,0,0,0,0,0,7.5
7,Retailer,0,10,8,8,3,3,10.0
7,Wholesaler,0,9,12,12,8,8,9.0
7,Distributor,0,1,4,4,3,0,1.0
7,Manufacturer,7,0,8,8,8,0,3.5
8,Retailer,0,18,8,8,0,0,18.0
8,Wholesaler,0,13,8,8,4,4,13.0
8,Distributor,0,5,4,4,0,0,5.0
8,Manufacturer,3,0,4,4,4,0,1.5
9,Retailer,0,18,8,8,8,8,18.0
9,Wholesaler,0,18,8,8,3,3,18.0
9,Distributor,0,9,12,12,8,8,9.0
9,Manufacturer,7,0,4,4,4,8,3.5
10,Retailer,0,22,8,8,4,4,22.0
10,Wholesaler,0,26,8,8,0,0,26.0
10,Distributor,0,13,8,8,4,4,13.0
10,Manufacturer,7,0,4,4,4,4,3.5
11,Retailer,0,27,8,8,3,3,27.0
11,Wholesaler,0,26,8,8,8,8,26.0
11,Distributor,0,17,8,8,4,4,17.0
11,Manufacturer,0,1,12,12,11,4,1.0
12,Retailer,0,35,8,8,0,0,35.0
12,Wholesaler,0,30,8,8,4,4,30.0
12,Distributor,0,21,8,8,4,4,21.0
12,Manufacturer,0,5,8,8,4,4,5.0
13,Retailer,0,35,8,8,8,8,35.0
13,Wholesaler,0,34,8,8,4,4,34.0
13,Distributor,0,18,8,8,11,11,18.0
13,Manufacturer,0,1,8,8,12,12,1.0
14,Retailer,0,39,8,8,4,4,39.0
14,Wholesaler,0,38,8,8,4,4,38.0
14,Distributor,0,22,8,8,4,4,22.0
14,Manufacturer,0,1,8,8,8,8,1.0
15,Retailer,0,43,8,8,4,4,43.0
15,Wholesaler,0,35,8,8,11,11,35.0
15,Distributor,0,18,8,8,12,12,18.0
15,Manufacturer,0,1,8,8,8,8,1.0
16,Retailer,0,47,8,8,4,4,47.0
16,Wholesaler,0,39,8,8,4,4,39.0
16,Distributor,0,18,8,8,8,8,18.0
16,Manufacturer,0,1,8,8,8,8,1.0
17,Retailer,0,44,8,8,11,11,44.0
17,Wholesaler,0,35,8,8,12,12,35.0
17,Distributor,0,18,8,8,8,8,18.0
17,Manufacturer,0,1,8,8,8,8,1.0
18,Retailer,0,48,8,8,4,4,48.0
18,Wholesaler,0,35,8,8,8,8,35.0
18,Distributor,0,18,8,8,8,8,18.0
18,Manufacturer,0,1,8,8,8,8,1.0
19,Retailer,0,44,8,8,12,12,44.0
19,Wholesaler,0,35,8,8,8,8,35.0
19,Distributor,0,18,8,8,8,8,18.0
19,Manufacturer,0,1,8,8,8,8,1.0
20,Retailer,0,44,8,8,8,8,44.0
20,Wholesaler,0,35,8,8,8,8,35.0
20,Distributor,0,18,8,8,8,8,18.0
20,Manufacturer,0,1,8,8,8,8,1.0
21,Retailer,0,44,8,8,8,8,44.0
21,Wholesaler,0,35,8,8,8,8,35.0
21,Distributor,0,18,8,8,8,8,18.0
21,Manufacturer,0,1,8,8,8,8,1.0
22,Retailer,0,44,8,8,8,8,44.0
22,Wholesaler,0,35,8,8,8,8,35.0
22,Distributor,0,18,8,8,8,8,18.0
22,Manufacturer,0,1,8,8,8,8,1.0
23,Retailer,0,44,8,8,8,8,44.0
23,Wholesaler,0,35,8,8,8,8,35.0
23,Distributor,0,18,8,8,8,8,18.0
23,Manufacturer,0,1,8,8,8,8,1.0
24,Retailer,0,44,8,8,8,8,44.0
24,Wholesaler,0,35,8,8,8,8,35.0
24,Distributor,0,18,8,8,8,8,18.0
24,Manufacturer,0,1,8,8,8,8,1.0
25,Retailer,0,44,8,8,8,8,44.0
25,Wholesaler,0,35,8,8,8,8,35.0
25,Distributor,0,18,8,8,8,8,18.0
25,Manufacturer,0,1,8,8,8,8,1.0
